Company,Job Title,Job Link,Location,Posting Date,Days Since Posted,Function,Seniority,Company_Group,Product_Focus,Product_Focus_Tokens,Primary_Skill,Extracted_Skills,Relevancy_to_Actian,Trend_Score,First_Seen,Last_Seen,Description
Acceldata,Senior Software Engineer - Open Data Platform (ODP),https://jobs.lever.co/acceldata/d2f5cb2d-fb99-46a8-9694-d66400b516bf,Bengaluru,2026-03-30,29,Engineering,Senior,Other,Platform / Infra,"[""Platform / Infra""]",ENGINEERING,"[""ENGINEERING"", ""DEVOPS"", ""PYTHON"", ""SQL""]",4.7,1.0,2026-04-08,2026-04-28,
Acceldata,"Senior Software Engineer - Open Data Platform (ODP) | Kitchener, Canada",https://jobs.lever.co/acceldata/e33dd25d-2943-48f3-a01e-be2b03245be9,Kitchener,2025-10-24,186,Engineering,Senior,Other,Platform / Infra,"[""Platform / Infra""]",ENGINEERING,"[""ENGINEERING"", ""DEVOPS"", ""PYTHON"", ""SQL""]",3.6,1.0,2026-04-08,2026-04-28,
Acceldata,Site Reliability Engineer - Hadoop Modernization,https://jobs.lever.co/acceldata/1f0af3a2-a2f4-4e62-a347-1b85524b0c87,Bengaluru,2025-11-13,166,Engineering,Mid,Other,Data Observability,"[""Data Observability""]",ENGINEERING,"[""ENGINEERING"", ""DEVOPS"", ""ANALYTICS"", ""SQL""]",6.0,0.0,2026-04-08,2026-04-28,
Acceldata,Software Engineer - Open Data Platform (ODP),https://jobs.lever.co/acceldata/0c47e882-83ff-471e-ba75-5543796aa34a,Bengaluru,2025-08-29,242,Engineering,Mid,Other,Platform / Infra,"[""Platform / Infra""]",ENGINEERING,"[""ENGINEERING"", ""DEVOPS"", ""PYTHON"", ""SQL""]",4.3,0.0,2026-04-08,2026-04-28,
Acceldata,"Software Engineer - Open Data Platform (ODP) | Kitchener, Canada",https://jobs.lever.co/acceldata/ed869a17-f438-4bb5-b8db-ecf412cd0def,Kitchener,2025-10-24,186,Engineering,Mid,Other,Platform / Infra,"[""Platform / Infra""]",ENGINEERING,"[""ENGINEERING"", ""DEVOPS"", ""PYTHON"", ""SQL""]",3.2,0.0,2026-04-08,2026-04-28,
Acceldata,Staff Engineer - Open Source Data Platform (ODP),https://jobs.lever.co/acceldata/ef679998-fbd9-45c8-a3e2-a675a93ed37f,Kitchener,2026-03-16,43,Engineering,Principal/Staff,Other,Developer Tools,"[""Developer Tools""]",ENGINEERING,"[""ENGINEERING"", ""DEVOPS""]",1.4,1.0,2026-04-08,2026-04-28,
Acceldata,Staff Product Support Engineer - Cloud Support,https://jobs.lever.co/acceldata/49682b2d-339a-4926-bec0-db5182c97d4b,Bengaluru,2026-01-06,112,Engineering,Principal/Staff,Other,Cloud Infrastructure,"[""Cloud Infrastructure""]",PRODUCT,"[""PRODUCT"", ""ENGINEERING"", ""DEVOPS""]",2.5,1.0,2026-04-08,2026-04-28,
Acceldata,Staff Product Support Engineer - Hadoop Operations,https://jobs.lever.co/acceldata/a8e2159f-2b94-4a26-902d-b500d45245fe,California,2025-11-04,175,Engineering,Principal/Staff,Other,Platform / Infra,"[""Platform / Infra""]",PRODUCT,"[""PRODUCT"", ""ENGINEERING""]",2.5,1.0,2026-04-08,2026-04-28,
Acceldata,Staff Software Engineer- Backend,https://jobs.lever.co/acceldata/d527fc32-5f61-4c3e-9e55-1294681ff03a,Bengaluru,2025-10-28,182,Engineering,Principal/Staff,Other,Platform / Infra,"[""Platform / Infra""]",ENGINEERING,"[""ENGINEERING"", ""PYTHON"", ""SQL""]",5.3,1.0,2026-04-08,2026-04-28,
Acceldata,Technical Account Manager - Acceldata Data Observability Cloud (ADOC),https://jobs.lever.co/acceldata/074a15b8-5400-4134-88aa-bc94ec16a938,United States,2026-03-30,29,Engineering,Manager,Other,Data Observability,"[""Data Observability""]",DATA_OBSERVABILITY,"[""DATA_OBSERVABILITY"", ""OBSERVABILITY"", ""DEVOPS"", ""ANALYTICS"", ""SQL"", ""MANAGEMENT""]",8.1,1.5,2026-04-08,2026-04-28,
Acceldata,Technical Account Manager - Acceldata Data Observability Cloud (ADOC),https://jobs.lever.co/acceldata/a06df205-c681-4703-bf7b-c26c92b4af7d,"Greater London, UK",2026-01-22,96,Engineering,Manager,Other,Data Observability,"[""Data Observability""]",DATA_OBSERVABILITY,"[""DATA_OBSERVABILITY"", ""OBSERVABILITY"", ""DEVOPS"", ""ANALYTICS"", ""SQL"", ""MANAGEMENT""]",8.1,1.5,2026-04-08,2026-04-28,
Airtable,"AI Agent Architect, Customer Experience",https://job-boards.greenhouse.io/airtable/jobs/8409168002,US,2026-02-20,67,Engineering,Mid,Data Intelligence,ML/AI infra,"[""ML/AI infra""]",AI,"[""AI""]",5.4,2.0,2026-03-26,2026-04-28,
Airtable,AI Analytics Engineer (AI & Analytics Platform),https://job-boards.greenhouse.io/airtable/jobs/8434287002,"San Francisco, CA; Austin, TX; New York, NY",2026-03-19,40,Engineering,Mid,Data Intelligence,ML/AI infra,"[""ML/AI infra""]",AI,"[""AI""]",5.4,2.0,2026-03-26,2026-04-28,
Airtable,AI Analytics Engineer (Business Analytics),https://job-boards.greenhouse.io/airtable/jobs/8470036002,"San Francisco, CA; Austin, TX; New York, NY",2026-03-19,40,Engineering,Mid,Data Intelligence,ML/AI infra,"[""ML/AI infra""]",AI,"[""AI""]",5.4,2.0,2026-03-26,2026-04-28,
Airtable,AI Analytics Engineer (Marketing Analytics),https://job-boards.greenhouse.io/airtable/jobs/8434307002,"San Francisco, CA; Austin, TX; New York, NY",2026-03-19,40,Engineering,Mid,Data Intelligence,ML/AI infra,"[""ML/AI infra""]",AI,"[""AI""]",5.4,2.0,2026-03-26,2026-04-28,
Airtable,"Account Executive, Commercial",https://job-boards.greenhouse.io/airtable/jobs/8403058002,"Austin, TX",2026-03-27,32,Sales,Mid,Other,Go-to-Market,"[""Go-to-Market""]",,[],1.6,0.0,2026-04-08,2026-04-28,
Airtable,"Account Executive, Mid Market",https://job-boards.greenhouse.io/airtable/jobs/8403107002,"Austin, TX",2026-03-27,32,Sales,Mid,Other,Go-to-Market,"[""Go-to-Market""]",,[],1.6,0.0,2026-04-08,2026-04-28,
Airtable,"Account Executive, Strategic Accounts",https://job-boards.greenhouse.io/airtable/jobs/8403127002,US,2026-03-27,32,Sales,Mid,Other,Go-to-Market,"[""Go-to-Market""]",,[],1.6,0.0,2026-04-08,2026-04-28,
Airtable,"Account Executive, Strategic Accounts | DACH",https://job-boards.greenhouse.io/airtable/jobs/8509851002,Munich,2026-04-16,12,Sales,Mid,Other,Go-to-Market,"[""Go-to-Market""]",,[],0.4,0.0,2026-04-16,2026-04-28,
Airtable,Base Optimization Specialist,https://job-boards.greenhouse.io/airtable/jobs/8498915002,"London, United Kingdom",2026-04-16,12,Operations,Mid,Other,Corporate Functions,"[""Corporate Functions""]",,[],1.6,0.0,2026-04-16,2026-04-28,
Airtable,Base Optimization Specialist,https://job-boards.greenhouse.io/airtable/jobs/8457292002,US,2026-03-25,34,Operations,Mid,Data Intelligence,Corporate Functions,"[""Corporate Functions""]",,[],3.2,0.0,2026-03-26,2026-04-28,
Airtable,Commercial Renewals Manager EMEA,https://job-boards.greenhouse.io/airtable/jobs/8455195002,"London, United Kingdom",2026-03-10,49,Operations,Manager,Data Intelligence,Corporate Functions,"[""Corporate Functions""]",MANAGEMENT,"[""MANAGEMENT""]",3.6,0.0,2026-03-26,2026-04-28,
Airtable,Data Engineer,https://job-boards.greenhouse.io/airtable/jobs/8124953002,"San Francisco, CA",2025-12-18,131,Engineering,Mid,Data Intelligence,Platform / Infra,"[""Platform / Infra""]",ENGINEERING,"[""ENGINEERING"", ""ETL"", ""SQL"", ""PYTHON""]",7.7,0.0,2026-03-26,2026-04-28,
Airtable,Delivery Consultant,https://job-boards.greenhouse.io/airtable/jobs/8409166002,"San Francisco, CA; New York, NY; Remote - US",2026-03-25,34,Engineering,Mid,Data Intelligence,Platform / Infra,"[""Platform / Infra""]",,[],4.3,0.0,2026-03-26,2026-04-28,
Airtable,Demo Engineer,https://job-boards.greenhouse.io/airtable/jobs/8423374002,"Austin, TX",2026-03-26,33,Engineering,Mid,Data Intelligence,Platform / Infra,"[""Platform / Infra""]",ENGINEERING,"[""ENGINEERING""]",4.3,0.0,2026-03-26,2026-04-28,
Airtable,Director of Partnerships,https://job-boards.greenhouse.io/airtable/jobs/8068841002,US,2026-03-25,34,Operations,Director+,Data Intelligence,Corporate Functions,"[""Corporate Functions""]",,[],4.4,1.0,2026-03-26,2026-04-28,
Airtable,"Director, Technical Account Management",https://job-boards.greenhouse.io/airtable/jobs/8485839002,US; Remote - Canada,2026-03-31,28,Customer Success,Director+,Data Intelligence,Go-to-Market,"[""Go-to-Market""]",MANAGEMENT,"[""MANAGEMENT""]",4.4,1.0,2026-04-01,2026-04-28,
Airtable,"Engineering Manager, Enterprise Product",https://job-boards.greenhouse.io/airtable/jobs/8397665002,"San Francisco, CA",2026-02-11,76,Engineering,Manager,Data Intelligence,Platform / Infra,"[""Platform / Infra""]",PRODUCT,"[""PRODUCT"", ""ENGINEERING"", ""MANAGEMENT""]",4.7,0.0,2026-03-26,2026-04-28,
Airtable,Enterprise Renewals Manager EMEA,https://job-boards.greenhouse.io/airtable/jobs/8452938002,"London, United Kingdom",2026-03-10,49,Operations,Manager,Data Intelligence,Corporate Functions,"[""Corporate Functions""]",MANAGEMENT,"[""MANAGEMENT""]",3.6,0.0,2026-03-26,2026-04-28,
Airtable,Lead Solutions Consultant | DACH,https://job-boards.greenhouse.io/airtable/jobs/8378441002,"Munich, Germany",2026-03-06,53,Operations,Senior,Data Intelligence,Corporate Functions,"[""Corporate Functions""]",MANAGEMENT,"[""MANAGEMENT""]",3.6,1.0,2026-03-26,2026-04-28,
Airtable,"Manager, Renewals Management",https://job-boards.greenhouse.io/airtable/jobs/8452936002,"Austin, TX",2026-03-14,45,Operations,Manager,Data Intelligence,Corporate Functions,"[""Corporate Functions""]",MANAGEMENT,"[""MANAGEMENT""]",3.6,0.0,2026-03-26,2026-04-28,
Airtable,Paid Search Specialist,https://job-boards.greenhouse.io/airtable/jobs/8515990002,US,2026-04-27,1,Operations,Mid,Other,Corporate Functions,"[""Corporate Functions""]",,[],1.6,2.0,2026-04-27,2026-04-28,
Airtable,"Product Design Manager, Enterprise",https://job-boards.greenhouse.io/airtable/jobs/8455967002,"San Francisco, CA",2026-03-11,48,Design,Manager,Data Intelligence,Product Management,"[""Product Management""]",PRODUCT,"[""PRODUCT"", ""DESIGN"", ""MANAGEMENT""]",3.6,0.0,2026-03-26,2026-04-28,
Airtable,"Product Design Manager, Self Serve",https://job-boards.greenhouse.io/airtable/jobs/8228847002,"San Francisco, CA",2026-03-12,47,Design,Manager,Data Intelligence,Product Management,"[""Product Management""]",PRODUCT,"[""PRODUCT"", ""DESIGN"", ""MANAGEMENT""]",3.6,0.0,2026-03-26,2026-04-28,
Airtable,Product Designer,https://job-boards.greenhouse.io/airtable/jobs/8474256002,"San Francisco, CA",2026-04-15,13,Design,Mid,Other,Product Management,"[""Product Management""]",PRODUCT,"[""PRODUCT""]",1.6,0.0,2026-04-16,2026-04-28,
Airtable,"Product Manager, AI",https://job-boards.greenhouse.io/airtable/jobs/8199012002,"San Francisco, CA",2025-12-18,131,Product Management,Manager,Data Intelligence,Product Management,"[""Product Management""]",PRODUCT,"[""PRODUCT"", ""AI"", ""ML"", ""PYTHON"", ""SQL"", ""MANAGEMENT""]",6.4,2.0,2026-03-26,2026-04-28,
Airtable,"Product Manager, Funnel & Activation",https://job-boards.greenhouse.io/airtable/jobs/8475571002,"San Francisco, CA",2026-03-25,34,Product Management,Manager,Data Intelligence,Product Management,"[""Product Management""]",PRODUCT,"[""PRODUCT"", ""MANAGEMENT""]",3.6,0.0,2026-03-26,2026-04-28,
Airtable,"Product Manager, Omni",https://job-boards.greenhouse.io/airtable/jobs/8245333002,"San Francisco, CA; New York, NY",2026-03-17,42,Product Management,Manager,Data Intelligence,Product Management,"[""Product Management""]",PRODUCT,"[""PRODUCT"", ""MANAGEMENT""]",3.6,0.0,2026-03-26,2026-04-28,
Airtable,Professional Services Engineer (East Coast),https://job-boards.greenhouse.io/airtable/jobs/8432883002,US,2026-03-13,46,Engineering,Mid,Data Intelligence,Platform / Infra,"[""Platform / Infra""]",ENGINEERING,"[""ENGINEERING""]",4.3,0.0,2026-03-26,2026-04-28,
Airtable,Regional Marketing Manager,https://job-boards.greenhouse.io/airtable/jobs/8485360002,"Sydney, Australia",2026-03-30,29,Marketing,Manager,Data Intelligence,Go-to-Market,"[""Go-to-Market""]",MANAGEMENT,"[""MANAGEMENT""]",3.6,0.0,2026-03-31,2026-04-28,
Airtable,"Senior Account Executive, Commercial",https://job-boards.greenhouse.io/airtable/jobs/8433368002,"London, United Kingdom",2026-03-27,32,Sales,Senior,Other,Go-to-Market,"[""Go-to-Market""]",,[],1.9,1.0,2026-04-08,2026-04-28,
Airtable,"Senior Account Executive, Strategic Accounts UK&I + Northern Europe",https://job-boards.greenhouse.io/airtable/jobs/8458341002,"London, United Kingdom",2026-03-27,32,Sales,Senior,Other,Go-to-Market,"[""Go-to-Market""]",,[],1.9,1.0,2026-04-08,2026-04-28,
Airtable,Senior Accounting Manager,https://job-boards.greenhouse.io/airtable/jobs/8460788002,"San Francisco, CA",2026-04-13,15,Finance,Senior,Other,Corporate Functions,"[""Corporate Functions""]",MANAGEMENT,"[""MANAGEMENT"", ""ANALYTICS""]",1.9,1.0,2026-04-14,2026-04-28,
Airtable,"Senior Contracts Manager, Procurement and AI",https://job-boards.greenhouse.io/airtable/jobs/8350839002,"San Francisco, CA; New York, NY; Austin, TX; Remote - US",2026-01-06,112,Finance,Senior,Data Intelligence,Corporate Functions,"[""Corporate Functions""]",AI,"[""AI""]",4.7,3.0,2026-03-26,2026-04-28,
Airtable,"Senior Forward Deployed Engineer, EMEA",https://job-boards.greenhouse.io/airtable/jobs/8477376002,"London, United Kingdom",2026-03-30,29,Engineering,Senior,Data Intelligence,Platform / Infra,"[""Platform / Infra""]",ENGINEERING,"[""ENGINEERING""]",4.7,1.0,2026-03-31,2026-04-28,
Airtable,Senior Partner Solutions Architect,https://job-boards.greenhouse.io/airtable/jobs/8461582002,London; US,2026-03-31,28,Engineering,Senior,Data Intelligence,Platform / Infra,"[""Platform / Infra""]",ENGINEERING,"[""ENGINEERING""]",4.7,1.0,2026-04-01,2026-04-28,
Airtable,Senior Partner Solutions Architect,https://job-boards.greenhouse.io/airtable/jobs/8462421002,"London, England, United Kingdom",2026-04-13,15,Engineering,Senior,Other,Platform / Infra,"[""Platform / Infra""]",ENGINEERING,"[""ENGINEERING""]",3.1,1.0,2026-04-14,2026-04-28,
Airtable,Senior Solutions Architect,https://job-boards.greenhouse.io/airtable/jobs/8487502002,"San Francisco, CA; New York, NY; Remote - US",2026-04-01,27,Engineering,Senior,Data Intelligence,Platform / Infra,"[""Platform / Infra""]",ENGINEERING,"[""ENGINEERING""]",4.7,1.0,2026-04-02,2026-04-28,
Airtable,Senior Solutions Architect,https://job-boards.greenhouse.io/airtable/jobs/8341413002,"London, United Kingdom",2026-04-01,27,Engineering,Senior,Data Intelligence,Platform / Infra,"[""Platform / Infra""]",ENGINEERING,"[""ENGINEERING""]",4.7,1.0,2026-04-02,2026-04-28,
Airtable,"Software Engineer, Compute (8+ YOE)",https://job-boards.greenhouse.io/airtable/jobs/8442397002,"San Francisco, CA; New York, NY; Remote - US",2026-03-02,57,Engineering,Mid,Data Intelligence,Platform / Infra,"[""Platform / Infra""]",ENGINEERING,"[""ENGINEERING"", ""PYTHON"", ""SQL""]",6.0,0.0,2026-03-26,2026-04-28,
Airtable,"Software Engineer, Infrastructure (2-8 YOE)",https://job-boards.greenhouse.io/airtable/jobs/8400373002,"San Francisco, CA; New York, NY; Remote - US (Seattle, WA only)",2026-03-26,33,Engineering,Mid,Data Intelligence,Cloud Infrastructure,"[""Cloud Infrastructure""]",ENGINEERING,"[""ENGINEERING"", ""DEVOPS"", ""PYTHON"", ""SQL""]",4.9,0.0,2026-03-26,2026-04-28,
Airtable,"Software Engineer, Infrastructure (8+ YOE)",https://job-boards.greenhouse.io/airtable/jobs/8400388002,"San Francisco, CA; New York, NY; Remote - US (Seattle, WA only)",2026-02-03,84,Engineering,Mid,Data Intelligence,Cloud Infrastructure,"[""Cloud Infrastructure""]",ENGINEERING,"[""ENGINEERING"", ""DEVOPS"", ""PYTHON"", ""SQL""]",4.9,0.0,2026-03-26,2026-04-28,
Airtable,"Software Engineer, Observability",https://job-boards.greenhouse.io/airtable/jobs/8400374002,"San Francisco, CA; New York, NY; Remote (Seattle, WA only)",2026-03-26,33,Engineering,Mid,Data Intelligence,Data Observability,"[""Data Observability""]",OBSERVABILITY,"[""OBSERVABILITY""]",7.7,1.5,2026-03-26,2026-04-28,
Airtable,"Software Engineer, Product Backend (4-8 YOE)",https://job-boards.greenhouse.io/airtable/jobs/8397515002,"San Francisco, CA; New York, NY; Remote - US (Seattle, WA only)",2026-04-14,14,Engineering,Mid,Other,Platform / Infra,"[""Platform / Infra""]",PRODUCT,"[""PRODUCT"", ""ENGINEERING"", ""PYTHON"", ""SQL""]",4.3,0.0,2026-04-15,2026-04-28,
Airtable,"Software Engineer, Product Backend (8+ YOE)",https://job-boards.greenhouse.io/airtable/jobs/8397618002,"San Francisco, CA; Remote - US (Seattle, WA only)",2026-04-02,26,Engineering,Mid,Data Intelligence,Platform / Infra,"[""Platform / Infra""]",PRODUCT,"[""PRODUCT"", ""ENGINEERING"", ""PYTHON"", ""SQL""]",6.0,0.0,2026-04-03,2026-04-28,
Airtable,Solutions Consultant,https://job-boards.greenhouse.io/airtable/jobs/8378476002,"Paris, France",2026-02-10,77,Engineering,Mid,Data Intelligence,Platform / Infra,"[""Platform / Infra""]",,[],3.2,0.0,2026-03-26,2026-04-28,
Airtable,Solutions Consultant,https://job-boards.greenhouse.io/airtable/jobs/7892134002,"Austin, TX",2026-03-12,47,Engineering,Mid,Data Intelligence,Platform / Infra,"[""Platform / Infra""]",,[],4.3,0.0,2026-03-26,2026-04-28,
Airtable,Strategic Finance Analyst,https://job-boards.greenhouse.io/airtable/jobs/8420850002,"San Francisco, CA; New York, NY; Remote - US",2026-02-17,70,Finance,Mid,Data Intelligence,Corporate Functions,"[""Corporate Functions""]",ANALYTICS,"[""ANALYTICS"", ""SQL""]",4.9,0.0,2026-03-26,2026-04-28,
Airtable,Tax Manager,https://job-boards.greenhouse.io/airtable/jobs/8495660002,"San Francisco, CA",2026-04-09,19,Finance,Manager,Other,Corporate Functions,"[""Corporate Functions""]",MANAGEMENT,"[""MANAGEMENT""]",1.9,0.0,2026-04-10,2026-04-28,
Airtable,Technical Support Specialist,https://job-boards.greenhouse.io/airtable/jobs/8497826002,"London, United Kingdom",2026-04-08,20,Operations,Mid,Other,Corporate Functions,"[""Corporate Functions""]",,[],1.6,0.0,2026-04-08,2026-04-28,
Alation,Analyst Relations Manager,https://alation.wd503.myworkdayjobs.com/job/IND-CHENNAI/Analyst-Relations-Manager_R10000675,IND-CHENNAI,,,Operations,Manager,Data Intelligence,Corporate Functions,"[""Corporate Functions""]",ANALYTICS,"[""ANALYTICS"", ""SQL"", ""MANAGEMENT""]",4.2,0.0,2026-04-01,2026-04-28,
Alation,Campaign Manager,https://alation.wd503.myworkdayjobs.com/job/IND-CHENNAI/Campaign-Manager_R10000669,IND-CHENNAI,,,Marketing,Manager,Data Intelligence,Go-to-Market,"[""Go-to-Market""]",MANAGEMENT,"[""MANAGEMENT""]",2.5,2.0,2026-04-01,2026-04-28,
Alation,Cybersecurity Engineer,https://alation.wd503.myworkdayjobs.com/job/IND-CHENNAI/Cybersecurity-Engineer_R10000506,IND-CHENNAI,,,Security,Mid,Data Intelligence,Security / Compliance,"[""Security / Compliance""]",ENGINEERING,"[""ENGINEERING"", ""SECURITY""]",2.1,0.0,2026-04-01,2026-04-28,
Alation,"Director, Customer & GTM Operations",https://alation.wd503.myworkdayjobs.com/job/USA-CA-REDWOOD-CITY/Director--Customer---GTM-Operations_R10000687,USA-CA-REDWOOD CITY,2026-04-13,15,Operations,Director+,Data Intelligence,Corporate Functions,"[""Corporate Functions""]",ANALYTICS,"[""ANALYTICS""]",4.4,1.0,2026-04-03,2026-04-28,
Alation,Enterprise Account Executive,https://alation.wd503.myworkdayjobs.com/job/USA-REMOTE/Enterprise-Account-Executive---Midwest_R10000640-1,USA,,,Sales,Mid,Data Intelligence,Go-to-Market,"[""Go-to-Market""]",,[],3.2,0.0,2026-04-08,2026-04-28,
Alation,Enterprise Account Executive,https://alation.wd503.myworkdayjobs.com/job/USA-REMOTE/Enterprise-Account-Executive---Southeast_R10000602,USA,,,Sales,Mid,Data Intelligence,Go-to-Market,"[""Go-to-Market""]",,[],3.2,0.0,2026-04-08,2026-04-28,
Alation,FDE Software Engineer III,https://alation.wd503.myworkdayjobs.com/job/IND-CHENNAI/Staff-Forward-Deployed-Software-Engineer_R10000481,IND-CHENNAI,,,Engineering,Mid,Data Intelligence,Platform / Infra,"[""Platform / Infra""]",ENGINEERING,"[""ENGINEERING"", ""PYTHON"", ""SQL""]",4.9,0.0,2026-04-01,2026-04-28,
Alation,Front-End Engineer (Software Engineer II),https://alation.wd503.myworkdayjobs.com/job/USA-CA-REDWOOD-CITY/Front-End-Engineer--Software-Engineer-II-_R10000634,USA-CA-REDWOOD CITY,,,Engineering,Mid,Data Intelligence,Platform / Infra,"[""Platform / Infra""]",ENGINEERING,"[""ENGINEERING"", ""PYTHON"", ""SQL""]",6.0,0.0,2026-04-01,2026-04-28,
Alation,"Manager, Sales Development",https://alation.wd503.myworkdayjobs.com/job/USA-CA-REDWOOD-CITY/Manager--Sales-Development_R10000701,USA-CA-REDWOOD CITY,,,Sales,Manager,Data Intelligence,Go-to-Market,"[""Go-to-Market""]",MANAGEMENT,"[""MANAGEMENT"", ""ANALYTICS""]",3.6,0.0,2026-04-25,2026-04-28,
Alation,Principal Forward Deployed Engineer,https://alation.wd503.myworkdayjobs.com/job/USA-CA-REDWOOD-CITY/Principal-Forward-Deployed-Engineer_R10000695,USA-CA-REDWOOD CITY,2026-04-16,12,Engineering,Principal/Staff,Data Intelligence,Platform / Infra,"[""Platform / Infra""]",ENGINEERING,"[""ENGINEERING""]",5.3,1.0,2026-04-16,2026-04-28,
Alation,Product Manager III,https://alation.wd503.myworkdayjobs.com/job/USA-CA-REDWOOD-CITY/Product-Manager-III_R10000688,USA-CA-REDWOOD CITY,2026-04-20,8,Product Management,Manager,Data Intelligence,Product Management,"[""Product Management""]",PRODUCT,"[""PRODUCT"", ""MANAGEMENT""]",3.6,0.0,2026-04-10,2026-04-28,
Alation,Senior Business Systems Analyst,https://alation.wd503.myworkdayjobs.com/job/IND-CHENNAI/Business-Systems-Analysts-III_R10000616-1,IND-CHENNAI,,,Engineering,Senior,Data Intelligence,Platform / Infra,"[""Platform / Infra""]",ENGINEERING,"[""ENGINEERING"", ""PYTHON"", ""ANALYTICS"", ""SQL""]",5.3,1.0,2026-04-01,2026-04-28,
Alation,Senior Product Designer,https://alation.wd503.myworkdayjobs.com/job/IND-CHENNAI/Senior-Product-Designer_R10000642,IND-CHENNAI,,,Design,Senior,Data Intelligence,Product Management,"[""Product Management""]",PRODUCT,"[""PRODUCT""]",2.5,1.0,2026-04-08,2026-04-28,
Alation,Senior Product Manager,https://alation.wd503.myworkdayjobs.com/job/IND-CHENNAI/Product-Manager_R10000431,IND-CHENNAI,2026-04-14,14,Product Management,Senior,Data Intelligence,Product Management,"[""Product Management""]",PRODUCT,"[""PRODUCT"", ""MANAGEMENT""]",2.5,1.0,2026-04-01,2026-04-28,
Alation,Senior Product Manager II,https://alation.wd503.myworkdayjobs.com/job/USA-CA-REDWOOD-CITY/Senior-Product-Manager-II_R10000683,USA-CA-REDWOOD CITY,2026-04-13,15,Product Management,Senior,Data Intelligence,Product Management,"[""Product Management""]",PRODUCT,"[""PRODUCT"", ""MANAGEMENT""]",3.6,1.0,2026-04-03,2026-04-28,
Alation,Senior Technical Support Engineer – Japanese (JLPT N3+),https://alation.wd503.myworkdayjobs.com/job/IND-CHENNAI/Senior-Technical-Support-Engineer_R10000626,IND-CHENNAI,2026-04-07,21,Engineering,Senior,Data Intelligence,Platform / Infra,"[""Platform / Infra""]",ENGINEERING,"[""ENGINEERING""]",3.6,1.0,2026-04-01,2026-04-28,
